day,symbol,volume,total_volume_daily
2026-03-07,PEPon,91157.14110004486,13051314.406350223
2026-03-07,PLTRon,132503.15005087998,13051314.406350223
2026-03-07,QQQon,239393.56012562104,13051314.406350223
2026-03-07,SPYon,97151.81266526974,13051314.406350223
2026-03-07,UNHon,71299.85977,13051314.406350223
2026-03-07,AALon,58490.61,13051314.406350223
2026-03-07,ABBVon,57334.87,13051314.406350223
2026-03-07,ABNBon,53674.58,13051314.406350223
2026-03-07,ACHRon,57015.288,13051314.406350223
2026-03-07,ADBEon,57466.03710377999,13051314.406350223
2026-03-07,AGGon,55761.83891639327,13051314.406350223
2026-03-07,AMATon,54137.52,13051314.406350223
2026-03-07,AMDon,56102.40317295138,13051314.406350223
2026-03-07,ARMon,54836.22,13051314.406350223
2026-03-07,ASMLon,55543.922474156476,13051314.406350223
2026-03-07,BACon,54805.19,13051314.406350223
2026-03-07,BAon,55907.57930123972,13051314.406350223
2026-03-07,BBAIon,55999.172,13051314.406350223
2026-03-07,BMNRon,57847.239560530004,13051314.406350223
2026-03-07,CATon,55510.56,13051314.406350223
2026-03-07,CEGon,55718.43,13051314.406350223
2026-03-07,CMGon,55962.48,13051314.406350223
2026-03-07,COPXon,60802.88853574222,13051314.406350223
2026-03-07,COPon,54976.65,13051314.406350223
2026-03-07,COSTon,62650.09,13051314.406350223
2026-03-07,CRMon,56670.07,13051314.406350223
2026-03-07,CRWDon,56834.98,13051314.406350223
2026-03-07,CVNAon,56498.58,13051314.406350223
2026-03-07,Con,54729.23,13051314.406350223
2026-03-07,FIGon,61919.76,13051314.406350223
2026-03-07,FUTUon,53057.08,13051314.406350223
2026-03-07,Fon,58484.41,13051314.406350223
2026-03-07,GEon,55335.65,13051314.406350223
2026-03-07,GLDon,72746.03754999102,13051314.406350223
2026-03-07,GMEon,60107.215654720276,13051314.406350223
2026-03-07,GSon,56418.98,13051314.406350223
2026-03-07,HIMSon,195747.95786050954,13051314.406350223
2026-03-07,IAUon,63300.446780584876,13051314.406350223
2026-03-07,IBMon,55553.2496667563,13051314.406350223
2026-03-07,IEFAon,86496.86841925803,13051314.406350223
2026-03-07,IEMGon,55941.89295939445,13051314.406350223
2026-03-07,IJHon,56485.65238382654,13051314.406350223
2026-03-07,INTCon,57299.971164342154,13051314.406350223
2026-03-07,IRENon,56792.703499999996,13051314.406350223
2026-03-07,ISRGon,55774.92,13051314.406350223
2026-03-07,JDon,52454.173285901736,13051314.406350223
2026-03-07,JNJon,53530.27,13051314.406350223
2026-03-07,JPMon,57538.503513163705,13051314.406350223
2026-03-07,KOon,56940.82231930879,13051314.406350223
2026-03-07,LINon,56728.04,13051314.406350223
2026-03-07,LMTon,58887.39821414044,13051314.406350223
2026-03-07,LRCXon,53247.72,13051314.406350223
2026-03-07,MARAon,48606.12,13051314.406350223
2026-03-07,MPon,55329.53,13051314.406350223
2026-03-07,MRKon,54996.72,13051314.406350223
2026-03-07,MRVLon,57487.98693577422,13051314.406350223
2026-03-07,MUon,75889.69655646409,13051314.406350223
2026-03-07,NKEon,54866.58,13051314.406350223
2026-03-07,NOWon,52875.03,13051314.406350223
2026-03-07,NVOon,60195.69906716069,13051314.406350223
2026-03-07,OKLOon,54581.07,13051314.406350223
2026-03-07,ONDSon,61575.424437960115,13051314.406350223
2026-03-07,ORCLon,133431.37743102192,13051314.406350223
2026-03-07,OXYon,54859.27,13051314.406350223
2026-03-07,PALLon,57915.88,13051314.406350223
2026-03-07,PBRon,55677.78015777504,13051314.406350223
2026-03-07,PDDon,54693.42,13051314.406350223
2026-03-07,PSQon,56751.05,13051314.406350223
2026-03-07,PYPLon,57814.63,13051314.406350223
2026-03-07,QCOMon,54627.55,13051314.406350223
2026-03-07,RDDTon,59004.47,13051314.406350223
2026-03-07,RIOTon,55350.793,13051314.406350223
2026-03-07,RTXon,60338.406720000006,13051314.406350223
2026-03-07,SBETon,58512.59,13051314.406350223
2026-03-07,SGOVon,53548.18,13051314.406350223
2026-03-07,SHOPon,55367.9,13051314.406350223
2026-03-07,SLVon,294068.34307934775,13051314.406350223
2026-03-07,SMCIon,54843.27,13051314.406350223
2026-03-07,SNOWon,52367.67,13051314.406350223
2026-03-07,SOFIon,55529.49268,13051314.406350223
2026-03-07,SOUNon,50414.61,13051314.406350223
2026-03-07,SOon,78486.6053,13051314.406350223
2026-03-07,SPOTon,54700.54,13051314.406350223
2026-03-07,TLTon,56403.4036261302,13051314.406350223
2026-03-07,TQQQon,62073.62969829951,13051314.406350223
2026-03-07,TSMon,53494.9982682852,13051314.406350223
2026-03-07,Ton,2554961.18,13051314.406350223
2026-03-07,UBERon,57035.05,13051314.406350223
2026-03-07,USFRon,55674.56,13051314.406350223
2026-03-07,VRTon,55262.37,13051314.406350223
2026-03-07,VZon,55476.29,13051314.406350223
2026-03-07,Von,56677.09,13051314.406350223
2026-03-07,WMTon,59081.01,13051314.406350223
2026-03-07,XOMon,56363.63,13051314.406350223
2026-03-07,IWFon,33.467760368069406,13051314.406350223
2026-03-07,EFAon,40.16789168082845,13051314.406350223
2026-03-07,USOon,16114.09422438524,13051314.406350223
2026-03-07,TMon,36.640678136999995,13051314.406350223
2026-03-07,USDon,48.564237672721,13051314.406350223
2026-03-07,IWNon,42.11523378214717,13051314.406350223
2026-03-07,TIPon,34.90680057674655,13051314.406350223
2026-03-07,SBUXon,33.87416251550911,13051314.406350223
2026-03-07,SQQQon,9480.964446698275,13051314.406350223
2026-03-07,PGon,45.1132233452578,13051314.406350223
2026-03-07,IVVon,4157.125602745817,13051314.406350223
2026-03-07,ITOTon,32.14568102196753,13051314.406350223
2026-03-07,EEMon,39.59356242372819,13051314.406350223
2026-03-07,VTIon,1600.1392,13051314.406350223
2026-03-07,CVXon,1967.8357433056121,13051314.406350223
2026-03-07,IWMon,34.12816851767391,13051314.406350223
2026-03-07,BLKon,332.7431122154695,13051314.406350223
2026-03-07,PFEon,43.229460886527576,13051314.406350223
2026-03-06,AMZNon,454743.51954668004,74490818.42578293
2026-03-06,ACNon,523292.3247237257,74490818.42578293
2026-03-06,ABTon,624895.9999580907,74490818.42578293
2026-03-06,AAPLon,417058.1047085451,74490818.42578293
2026-03-06,TSLAon,31113850.783063076,74490818.42578293
2026-03-06,CRCLon,3387956.0089221094,74490818.42578293
2026-03-06,SNAPon,149.9635,74490818.42578293
2026-03-06,TMon,1695.4234874654728,74490818.42578293
2026-03-06,FIGRon,1554.7662167861552,74490818.42578293
2026-03-06,DBCon,1701.592986,74490818.42578293
2026-03-06,KLACon,396.987374,74490818.42578293
2026-03-06,NIKLon,492.68275682549995,74490818.42578293
2026-03-06,ANETon,224.79803484553372,74490818.42578293
2026-03-06,LIon,4972.975717640693,74490818.42578293
2026-03-06,BLSHon,99.9941,74490818.42578293
2026-03-06,NTESon,200.8842174372,74490818.42578293
2026-03-06,RIVNon,323.75319376000004,74490818.42578293
2026-03-06,MELIon,12910.49671586265,74490818.42578293
2026-03-06,INTUon,7827.66555310479,74490818.42578293
2026-03-06,JAAAon,100.01230000000001,74490818.42578293
2026-03-06,TXNon,19157.099677622176,74490818.42578293
2026-03-06,ONon,9273.969560228234,74490818.42578293
2026-03-06,APOon,1090.8120428857555,74490818.42578293
2026-03-06,WFCon,106.82124228190399,74490818.42578293
2026-03-06,PLUGon,10577.031682739133,74490818.42578293
2026-03-06,SPGIon,142.076410892178,74490818.42578293
2026-03-06,TMUSon,100.01960000000001,74490818.42578293
2026-03-06,APPon,2018.3792718430343,74490818.42578293
2026-03-06,BIDUon,383.45397919094654,74490818.42578293
2026-03-06,SBUXon,1115.9837718900314,74490818.42578293
2026-03-06,OPRAon,99.9941,74490818.42578293
2026-03-06,REMXon,2197.883520545297,74490818.42578293
2026-03-06,EFAon,1020.2242318634206,74490818.42578293
2026-03-06,VSTon,1202.246965597666,74490818.42578293
2026-03-06,CLOIon,99.9941,74490818.42578293
2026-03-06,CPNGon,99.9932,74490818.42578293
2026-03-06,IWNon,1126.686067135531,74490818.42578293
2026-03-06,XYZon,199.9878,74490818.42578293
2026-03-06,USDon,48.544020528640004,74490818.42578293
2026-03-06,AMCon,148.46645144972405,74490818.42578293
2026-03-06,OPENon,261.2141502118476,74490818.42578293
2026-03-06,DGRWon,306.999896,74490818.42578293
2026-03-06,DNNon,1685.2869287485312,74490818.42578293
2026-03-06,HDon,150.0514102310975,74490818.42578293
2026-03-06,PANWon,9144.813813754712,74490818.42578293
2026-03-06,PINSon,2911.708178911719,74490818.42578293
2026-03-06,LMTon,152540.2844810331,74490818.42578293
2026-03-06,LRCXon,144072.79384032066,74490818.42578293
2026-03-06,MARAon,116392.18389019177,74490818.42578293
2026-03-06,MPon,202221.90205491125,74490818.42578293
2026-03-06,MRKon,83919.277542,74490818.42578293
2026-03-06,MRVLon,265128.6188992597,74490818.42578293
2026-03-06,MUon,1655370.4556850195,74490818.42578293
2026-03-06,NKEon,64436.30890562651,74490818.42578293
2026-03-06,NOWon,111255.99033890099,74490818.42578293
2026-03-06,NVOon,136531.43705176533,74490818.42578293
2026-03-06,OKLOon,184283.2136726337,74490818.42578293
2026-03-06,ONDSon,307295.45387763786,74490818.42578293
2026-03-06,ORCLon,489959.19003024366,74490818.42578293
2026-03-06,OXYon,222785.8843589218,74490818.42578293
2026-03-06,PALLon,96755.20253206854,74490818.42578293
2026-03-06,PBRon,119394.87606808619,74490818.42578293
2026-03-06,PDDon,538392.800036386,74490818.42578293
2026-03-06,PSQon,66352.05510785074,74490818.42578293
2026-03-06,PYPLon,73476.03344234571,74490818.42578293
2026-03-06,QCOMon,69656.82828594524,74490818.42578293
2026-03-06,RDDTon,160592.87702243522,74490818.42578293
2026-03-06,RIOTon,176054.54912858264,74490818.42578293
2026-03-06,RTXon,78414.61921273588,74490818.42578293
2026-03-06,SBETon,165648.59531992133,74490818.42578293
2026-03-06,SGOVon,58120.4229947616,74490818.42578293
2026-03-06,SHOPon,150482.94352858394,74490818.42578293
2026-03-06,SLVon,1871819.212209627,74490818.42578293
2026-03-06,SMCIon,118673.40306402615,74490818.42578293
2026-03-06,SNOWon,137729.99994257698,74490818.42578293
2026-03-06,SOFIon,125327.94043450792,74490818.42578293
2026-03-06,SOUNon,128077.73177173099,74490818.42578293
2026-03-06,SOon,65049.419,74490818.42578293
2026-03-06,SPOTon,122909.69730242819,74490818.42578293
2026-03-06,TLTon,61845.673825350765,74490818.42578293
2026-03-06,TQQQon,265919.706921968,74490818.42578293
2026-03-06,TSMon,312234.9693288588,74490818.42578293
2026-03-06,Ton,3524780.725431381,74490818.42578293
2026-03-06,UBERon,70042.82365847434,74490818.42578293
2026-03-06,USFRon,57016.0993,74490818.42578293
2026-03-06,VRTon,142707.977118472,74490818.42578293
2026-03-06,VZon,57578.80907612799,74490818.42578293
2026-03-06,Von,66559.62560600661,74490818.42578293
2026-03-06,WMTon,65871.92684905384,74490818.42578293
2026-03-06,XOMon,149289.27763400704,74490818.42578293
2026-03-06,TLNon,99.9931,74490818.42578293
2026-03-06,GRABon,1227.1318946379706,74490818.42578293
2026-03-06,SCHWon,99.9891,74490818.42578293
2026-03-06,BINCon,300.0165,74490818.42578293
2026-03-06,BLKon,4011.0840845452053,74490818.42578293
2026-03-06,NEEon,99.9849,74490818.42578293
2026-03-06,EQIXon,179.40868959971294,74490818.42578293
2026-03-06,TMOon,100.01709999999999,74490818.42578293
2026-03-06,RGTIon,624.4148581711715,74490818.42578293
2026-03-06,BTGon,517.1723206261897,74490818.42578293
2026-03-06,OSCRon,127.990972,74490818.42578293
2026-03-06,USOon,1033332.2638330589,74490818.42578293
2026-03-06,HYGon,199.807635057255,74490818.42578293
2026-03-06,PDBCon,2430.1780807624027,74490818.42578293
2026-03-06,CVXon,718297.0125190152,74490818.42578293
2026-03-06,CLOAon,99.9941,74490818.42578293
2026-03-06,LOWon,99.9941,74490818.42578293
2026-03-06,VTVon,770.3432357343919,74490818.42578293
2026-03-06,DISon,246.01328983038206,74490818.42578293
2026-03-06,CIFRon,149.98452,74490818.42578293
2026-03-06,IVVon,253385.416007123,74490818.42578293
2026-03-06,ADIon,99.9906,74490818.42578293
2026-03-06,PCGon,99.9849,74490818.42578293
2026-03-06,IWMon,1094.670646875479,74490818.42578293
2026-03-06,COFon,99.965,74490818.42578293
2026-03-06,IWFon,1022.8451253452947,74490818.42578293
2026-03-06,DEon,166.2625723192926,74490818.42578293
2026-03-06,EEMon,1153.1884749078163,74490818.42578293
2026-03-06,NIOon,30434.977273157314,74490818.42578293
2026-03-06,SQQQon,70471.84484556182,74490818.42578293
2026-03-06,QBTSon,553.1675884853206,74490818.42578293
2026-03-06,WULFon,99.9941,74490818.42578293
2026-03-06,VTIon,4247.034536067498,74490818.42578293
2026-03-06,TCOMon,16985.350105394682,74490818.42578293
2026-03-06,FTGCon,1880.0575599999997,74490818.42578293
2026-03-06,TIPon,709.9394457867653,74490818.42578293
2026-03-06,COPon,81431.60578846163,74490818.42578293
2026-03-06,COPXon,162014.0719556185,74490818.42578293
